Year,Copenhagen,City centre,Østerbro,Nørrebro,Vesterbro/Kongens Enghave,Valby,Vanløse,Brønshøj-Husum,Bispebjerg,Amager Øst,Amager Vest
2006,18297.69,20723.34,19299.05,13295.0,14109.62,20606.1,23744.33,22550.38,16946.03,18414.65,18777.15
2007,19112.18,21541.61,20115.51,13905.79,15351.41,21615.64,24711.44,23416.28,17363.61,19226.88,19536.68
2008,19535.48,21875.75,20657.9,14178.33,16079.47,22093.92,25060.6,23800.1,17857.14,19677.93,20032.23
2009,19431.72,21519.51,20691.86,13726.53,16424.9,21954.43,25004.85,24015.06,17549.21,19588.79,19999.27
2010,19251.89,21224.56,20434.86,13336.08,16226.77,22008.83,24809.32,23830.57,17565.79,19540.92,20010.26
2011,19134.42,20998.53,20236.08,12969.38,16256.8,22064.76,24798.64,23939.41,17346.38,19545.25,20145.79
2012,18998.29,20705.25,20089.22,12668.21,15911.07,22027.35,24579.18,23825.19,17135.79,19257.41,20112.84
2013,18934.81,20621.51,19938.44,12536.23,15823.77,22000.12,24509.3,23729.13,17057.78,19279.36,20206.85
2014,19160.04,20821.02,20062.8,12759.78,16300.89,22210.01,24496.35,23810.85,17089.85,19741.95,20483.94
2015,19508.97,21196.83,20439.87,13257.28,16562.0,22690.28,25153.65,23959.19,17299.08,19875.01,20881.37
2016,19893.69,21512.8,20826.68,13652.91,16900.67,22785.89,25519.79,24580.85,17510.95,20280.07,21515.68
2017,20367.24,21468.63,21243.99,14381.31,17360.49,23108.5,25858.42,25297.1,18204.41,21034.08,21749.33
2018,20616.0,21218.89,21507.14,15056.1,17696.36,23262.96,26036.29,25600.68,18608.23,21406.9,21624.97
2019,20776.67,21333.48,21645.09,15247.78,18046.64,23263.07,26190.88,25891.51,19166.85,21478.04,21308.53
2020,20904.16,21723.41,21737.28,15539.41,17990.59,23051.67,26333.29,26601.02,19562.46,21545.74,21119.88
