Year,Copenhagen,City centre,Østerbro,Nørrebro,Vesterbro/Kongens Enghave,Valby,Vanløse,Brønshøj-Husum,Bispebjerg,Amager Øst,Amager Vest
2006,1045.71,1327.76,1037.62,861.83,920.5,1162.2,1214.18,1129.92,846.97,1114.73,1068.45
2007,1315.33,1694.8,1306.59,1009.39,1130.17,1499.73,1545.51,1538.11,1030.04,1325.0,1416.58
2008,1689.13,2124.07,1724.19,1215.53,1514.92,1933.36,2042.18,1933.03,1344.94,1704.45,1828.61
2009,2037.24,2494.45,2104.08,1386.84,1930.36,2306.68,2580.79,2388.11,1608.29,1999.72,2216.7
2010,2317.21,2788.83,2430.17,1519.58,2209.13,2650.57,2845.9,2726.79,1831.59,2359.07,2530.7
2011,2656.87,3231.02,2809.27,1659.63,2523.94,3039.23,3227.11,3113.71,2074.73,2737.95,3017.64
2012,3037.38,3636.84,3256.59,1841.56,2842.67,3536.37,3614.58,3560.11,2389.48,3034.01,3532.39
2013,3314.27,3940.34,3556.2,2007.78,2991.22,3838.8,3954.11,3887.08,2595.16,3330.73,3965.18
2014,3545.95,4188.71,3726.47,2160.47,3252.22,4091.01,4212.78,4201.51,2617.19,3739.47,4265.98
2015,3784.47,4466.95,3993.98,2351.46,3389.97,4365.23,4626.05,4527.65,2781.51,3858.35,4562.32
2016,4015.87,4688.78,4214.55,2608.32,3521.17,4470.83,4914.13,4822.43,3116.35,4138.53,4772.14
2017,4357.2,4868.72,4600.19,2955.56,3827.04,4899.19,5352.22,5320.87,3431.58,4451.42,5016.29
2018,4468.18,4775.38,4682.38,3163.63,4040.72,4988.09,5278.75,5469.26,3680.37,4612.21,5022.65
2019,4506.73,4791.4,4664.79,3180.55,4149.95,5047.42,5336.21,5619.62,3855.72,4533.37,4940.57
2020,4401.72,4686.21,4511.11,3187.38,4063.94,4889.9,5180.24,5548.86,3799.03,4371.02,4771.25
