Year,Copenhagen,City centre,Østerbro,Nørrebro,Vesterbro/Kongens Enghave,Valby,Vanløse,Brønshøj-Husum,Bispebjerg,Amager Øst,Amager Vest
2006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,1.96,8.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45
2010,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,4.11,5.93,6.81,5.22,0.0,0.0,0.0,0.0,0.0,0.0,4.86
2014,5.96,7.78,14.76,0.0,6.63,0.0,0.0,0.0,0.0,0.0,4.73
2015,16.54,34.66,21.3,5.08,19.47,13.53,15.18,27.33,7.46,16.3,12.31
2016,65.09,179.12,79.84,18.83,68.3,54.91,47.08,63.1,21.98,48.23,82.1
2017,73.36,178.43,88.49,26.27,70.56,73.31,54.11,76.24,34.46,54.63,89.78
2018,80.38,200.03,99.65,26.06,81.02,72.86,61.21,80.46,41.64,65.89,89.19
2019,91.42,218.92,109.66,38.45,84.52,89.18,65.52,95.36,43.26,76.21,105.03
2020,156.08,316.83,191.72,79.75,158.21,154.21,121.37,129.51,85.19,143.81,182.34
